"Carrot houmous with pitta dippers",Oct-10,"Page 52","Vegetarian",
"Cauliflower soup with Gorgonzola & pickled pear relish",Oct-10,"Page 66","Vegetarian",
"Diggy egg with Marmite soldiers",Oct-10,"Page 48","Vegetarian",
"Fast spinach soup",Oct-10,"Page 32","Vegetarian",
"Hot veggie curry",Oct-10,"Page 46","Vegetarian",
"Indian butternut squash curry",Oct-10,"Page 40","Vegetarian",
"Mushroom & mascarpone pizzas",Oct-10,"Page 35","Vegetarian",
"Oyster mushroom & tofu laksa",Oct-10,"Page 149","Vegetarian",
"Pear, chicory & blue cheese salad",Oct-10,"Page 76","Vegetarian",
"Quinoa tabbouleh",Oct-10,"Page 141","Vegetarian",
"Roasted squash risotto with Wensleydale",Oct-10,"Page 61","Vegetarian",
"Sandwiches",Oct-10,"Page 120","Vegetarian",
"Spicy mushroom & broccoli noodles",Oct-10,"Page 32","Vegetarian",
"Spinach houmous",Oct-10,"Page 112","Vegetarian",
"Squash, orange & barley salad",Oct-10,"Page 62","Vegetarian",
"Stir-fry vegetarian pad Thai",Oct-10,"Page 151","Vegetarian",
"Thai green veggie curry",Oct-10,"Page 46","Vegetarian",
"Thai pumpkin soup",Oct-10,"Page 56","Vegetarian",
"Vegetable curry",Oct-10,"Page 46","Vegetarian",
"Butter-puff celeriac pastry wraps with wild mushroom sauce",Dec-10,"Page 82","Vegetarian",
"Cheeseboard macaroni bake",Dec-10,"Page 194","Vegetarian",
"Courgette & herb risotto",Dec-10,"Page 204","Vegetarian",
"Easy cheese fondue",Dec-10,"Page 187 ","Vegetarian",
"Pesto & tomato pasta with crispy crumbs",Dec-10,"Page 185","Vegetarian",
"Spicy beans with scrambled eggs",Dec-10,"Page 199","Vegetarian",
"Squash & sage pithivier",Dec-10,"Page 51","Vegetarian",
"Celery, apple & walnut salad",Jan-11,"Page 90","Vegetarian",
"Veggie wellington",Jan-11,"Page 117","Vegetarian",
"Couscous with caramelised onions & raisins",Jan-11,"Page 78","Vegetarian",
"Fennel & chestnut loaf with cranberry relief",Jan-11,"Page 11","Vegetarian",
"Festive squash jalousie",Jan-11,"Page 61","Vegetarian",
"Indian potato pie",Jan-11,"Page 59","Vegetarian",
"Burmese spicy cabbage",Jan-11,"Page 13","Vegetarian",
"Lemony mushroom pilaf",Jan-11,"Page 35","Vegetarian",
"Mexican veggie wraps",Jan-11,"Page 24","Vegetarian",
"Quesadillas with black beans & tomato salsa",Jan-11,"Page 84","Vegetarian",
"Red cabbage salad with caraway seeds",Jan-11,"Page 90","Vegetarian",
"Roasted chestnut & herb pesto pasta
with mushrooms",Jan-11,"Page 60","Vegetarian",
"Roasted green peppers & aubergine",Jan-11,"Page 80","Vegetarian",
"Roasted veggie & citrus couscous",Jan-11,"Page 28","Vegetarian",
"Root vegetables with elderflower & lemon",Jan-11,"Page 90","Vegetarian",
"Salad of nordic herbs & ancient grains",Jan-11,"Page 90","Vegetarian",
"Spiced pepper pilafs",Jan-11,"Page 38","Vegetarian",
"Squash & sage pasta",Jan-11,"Page 24","Vegetarian",
"Vegetable stew with herby dumplings",Jan-11,"Page 58","Vegetarian",
"Walnut & pesto pasta",Jan-11,"Page 24","Vegetarian",
"Artichoke, olive & caper pizza",Mar-11,"Page 102","Vegetarian",
"Baked butternut squash, chickpeas & green chilli",Mar-11,"Page 68","Vegetarian",
"Baked cheese with quick walnut bread & pears",Mar-11,"Page 78","Vegetarian",
"Individual ricotta & mushroom lasagnes",Mar-11,"Page 66","Vegetarian",
"Lentil ragu",Mar-11,"Page 106","Vegetarian",
"Pasta pesto with feta & olives",Mar-11,"Page 33","Vegetarian",
"Pea & mint pasta",Mar-11,"Page 26","Vegetarian",
"Potato pancakes",Mar-11,"Page 100","Vegetarian",
"Quick cauliflower cheese",Mar-11,"Page 53","Vegetarian",
"Shallot tart tatin with goat's cheese",Mar-11,"Page 78","Vegetarian",
"Simple pizza base",Mar-11,"Page 102","Vegetarian",
"Spinach, blue cheese & walnut pizza",Mar-11,"Page 102","Vegetarian",
"Sun-dried tomato & rosemary palmiers",Mar-11,"Page 18","Vegetarian",
"Tex-Mex burrito",Mar-11,"Page 28","Vegetarian",
"Thai coconut & veg broth",Mar-11,"Page 42","Vegetarian",
"The classic pancake",Mar-11,"Page 96","Vegetarian",
"Wild mushroom & mascarpone pizza",Mar-11,"Page 102","Vegetarian",
"Artichoke, red onion & rosemary risotto",Apr-11,"Page 53","Vegetarian",
"Cajun roasted veggies",Apr-11,"Page 30","Vegetarian",
"Comte cheese souffle",Apr-11,"Page 67","Vegetarian",
"Cream cheese & cucumber fingers",Apr-11,"Page 125","Vegetarian",
"Egg mayo & watercress rolls",Apr-11,"Page 125","Vegetarian",
"Halloumi with chickpea & couscous salsa",Apr-11,"Page 27","Vegetarian",
"Herby chickpea balls with tomato sauce",Apr-11,"Page 28","Vegetarian",
